,feature,importance,stddev,p_value,n,p99_high,p99_low,seed,fold,model
64,Tv-03-Pd,0.01030769230769229,0.014302859311718505,0.002238824488876791,20,0.01945758076990111,0.001157803845483472,27431,1,LightGBM
65,Tv-10-Pd,0.007999999999999952,0.005104940481090651,5.641508425095791e-07,20,0.011265755118623284,0.00473424488137662,27431,1,LightGBM
66,Tv-01-Pd,0.0028461538461537874,0.0029222244655134435,0.00017016820612467747,20,0.0047155722147648104,0.000976735477542764,27431,1,LightGBM
67,FR-pd-Pd,0.002153846153846123,0.0036131873760763046,0.007635680626078704,20,0.004465290373749235,-0.00015759806605698855,27431,1,LightGBM
68,CC-pt-Pd,0.00023076923076922328,0.0005636116131269406,0.041406921292254956,20,0.0005913253464189043,-0.00012978688488045773,27431,1,LightGBM
69,Tv-08-Pd,0.0,0.0,0.5,20,0.0,0.0,27431,1,LightGBM
70,dm-genero,0.0,0.0,0.5,20,0.0,0.0,27431,1,LightGBM
71,CC-p2-Pd,0.0,0.0,0.5,20,0.0,0.0,27431,1,LightGBM
72,cl-RC_e,0.0,0.0,0.5,20,0.0,0.0,27431,1,LightGBM
73,Tv-11-Pd,0.0,0.0,0.5,20,0.0,0.0,27431,1,LightGBM
74,Tv-02-Pd,-0.001230769230769191,0.0006313712935908436,0.9999999771428099,20,-0.0008268655924341924,-0.0016346728691041894,27431,1,LightGBM
75,St-p3-Pd,-0.002846153846153865,0.005241593943587088,0.9873661922209913,20,0.0005070218303150288,-0.006199329522622759,27431,1,LightGBM
76,St-p2-Pd,0.1489615384615383,0.06116805273835297,6.542576961041853e-10,20,0.18809223588424756,0.10983084103882906,27431,1,RandomForestGini
77,St-p1-Pd,0.029615384615384495,0.018139052505198802,3.165858339839297e-07,20,0.0412193795660121,0.01801138966475689,27431,1,RandomForestGini
78,CC-p1-Pd,0.025769230769230645,0.012549497143013743,1.019563040325943e-08,20,0.03379745062463433,0.01774101091382696,27431,1,RandomForestGini
79,FR-p2-Pd,0.015499999999999885,0.009968105474551856,6.286900395894187e-07,20,0.021876840552221184,0.009123159447778587,27431,1,RandomForestGini
80,FR-p1-Pd,0.011730769230769083,0.012005072632822324,0.00016474421488374392,20,0.01941070742893359,0.004050831032604577,27431,1,RandomForestGini
81,Tv-10-Pd,0.011192307692307557,0.01319068166700408,0.0006123704322592865,20,0.01963070894922998,0.0027539064353851346,27431,1,RandomForestGini
82,Tv-09-Pd,0.009538461538461445,0.006962997811562505,3.4373701243229444e-06,20,0.013992861316148002,0.005084061760774888,27431,1,RandomForestGini
83,Tv-08-Pd,0.005961538461538335,0.01389975007000919,0.03512809893731289,20,0.014853548095511471,-0.0029304711724348004,27431,1,RandomForestGini
84,dm-edad,0.005461538461538346,0.0028003203091247794,2.2683438647156064e-08,20,0.007252971763686325,0.003670105159390367,27431,1,RandomForestGini
85,St-p3-Pd,0.003884615384615253,0.009140840623263638,0.036321920020723264,20,0.009732234404762103,-0.0019630036355315975,27431,1,RandomForestGini
86,Tv-02-Pd,0.0019615384615383536,0.003722506397213677,0.014666079738057483,20,0.004342916729480746,-0.000419839806404039,27431,1,RandomForestGini
87,dm-genero,0.0012692307692306725,0.0012296300395880243,9.422180043996086e-05,20,0.002055855140400553,0.00048260639806079223,27431,1,RandomForestGini
