Model,Nvariables,nFolds,Seed,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Roc_auc,PR_auc,Log_loss,ROC_AUC
NeuralNetTorch_r30,8,5,0,0.8089171974522293,0.7295938104448743,0.8089171974522293,,0.7900782013685239,0.8089171974522293,0.8089171974522293,0.8199207904621917,0.7483974358974359,,0.6089639771070592,0.39343713774817357,0.8903958944281525
NeuralNetTorch_r31,8,5,0,0.8535031847133758,0.7788139646102343,0.8535031847133758,,0.7849462365591398,0.8535031847133758,0.8535031847133758,0.8542998922712823,0.7817995045017826,,0.6129273270329023,0.49858280864758875,0.8679130009775171
NeuralNetTorch_r36,8,5,0,0.8375796178343949,0.7576696868542362,0.8375796178343949,,0.7971041055718475,0.8375796178343949,0.8375796178343949,0.8433338296850581,0.7735160592303449,,0.6427825317949224,0.36631008089274947,0.8856304985337244
NeuralNetTorch_r41,8,5,0,0.8312101910828026,0.7467062598129566,0.8312101910828026,,0.7207966764418376,0.8312101910828026,0.8312101910828026,0.8265390217754104,0.7320775980037029,,0.6267401061976194,0.4482567249919729,0.8454301075268817
NeuralNetTorch_r71,8,5,0,0.8535031847133758,0.7793866080156402,0.8535031847133758,,0.7793866080156402,0.8535031847133758,0.8535031847133758,0.8535031847133758,0.7793866080156402,,0.6753111206955468,0.318125025211112,0.9082966764418378
NeuralNetTorch_r76,8,5,0,0.8503184713375797,0.7743368179346184,0.8503184713375797,,0.7773704789833822,0.8503184713375797,0.8503184713375797,0.8507299903880527,0.7758335232019442,,0.6052651473884012,0.4918609472050374,0.896322091886608
NeuralNetTorch_r79,8,5,0,0.8535031847133758,0.7788139646102343,0.8535031847133758,,0.7849462365591398,0.8535031847133758,0.8535031847133758,0.8542998922712823,0.7817995045017826,,0.6530115179222092,0.4046353181701982,0.8793988269794721
NeuralNetTorch_r86,8,5,0,0.8503184713375797,0.7775672981056829,0.8503184713375797,,0.7551319648093842,0.8503184713375797,0.8503184713375797,0.8471689101062414,0.7652803180914514,,0.6588782618686867,0.3387516152539185,0.8986436950146628
NeuralNetTorch_r87,8,5,0,0.8407643312101911,0.7610278139939157,0.8407643312101911,,0.7935606060606061,0.8407643312101911,0.8407643312101911,0.8454251548490114,0.7747359963269054,,0.6561468136554214,0.3864471272537684,0.8843475073313783
NeuralNetTorch_r89,8,5,0,0.8439490445859873,0.7646507133519014,0.8439490445859873,,0.7844574780058651,0.8439490445859873,0.8439490445859873,0.846761456061207,0.773638757705492,,0.6298843023310823,0.38771532905592787,0.8899071358748779
RandomForestEntr,8,5,0,0.8853503184713376,0.8667508417508418,0.8853503184713376,,0.7661901270772238,0.8853503184713376,0.8853503184713376,0.8763199960652189,0.8016146016146016,,0.7998155807619136,0.27215677492179186,0.9276026392961877
RandomForestGini,8,5,0,0.8789808917197452,0.8535353535353536,0.8789808917197452,,0.7565982404692082,0.8789808917197452,0.8789808917197452,0.869448884735509,0.7905931905931907,,0.8027027752980207,0.27105769068597146,0.9289772727272728
RandomForest_r127,8,5,0,0.8598726114649682,0.7866987179487179,0.8598726114649682,,0.8278958944281525,0.8598726114649682,0.8598726114649682,0.8645560028398672,0.8036719149661797,,0.7933835464518266,0.28794357017520855,0.9251588465298143
RandomForest_r15,8,5,0,0.8853503184713376,0.8243559718969555,0.8853503184713376,,0.8384652981427174,0.8853503184713376,0.8853503184713376,0.88657028758373,0.8310616929698709,,0.8081868156046923,0.2610872039755116,0.9331622678396871
RandomForest_r16,8,5,0,0.9044585987261147,0.8680630387931034,0.9044585987261147,,0.8338831867057674,0.9044585987261147,0.9044585987261147,0.9021348831293357,0.8492703533026114,,0.8100457173789504,0.257725947577191,0.9352700391006843
RandomForest_r166,8,5,0,0.89171974522293,0.8677944862155389,0.89171974522293,,0.7869012707722385,0.89171974522293,0.89171974522293,0.8850672618247892,0.8178032630213666,,0.8108923178774319,0.257402583155414,0.9362475562072337
RandomForest_r195,8,5,0,0.8980891719745223,0.8695684086905461,0.8980891719745223,,0.8076124144672532,0.8980891719745223,0.8980891719745223,0.8934423904507286,0.8330342306414091,,0.8185827734052831,0.2503553033294695,0.9379276637341154
RandomForest_r34,8,5,0,0.7006369426751592,0.6951704545454546,0.7006369426751592,,0.7938049853372434,0.7006369426751592,0.7006369426751592,0.7282253028599975,0.6711675579322638,,0.6641545861730197,0.4504434973395641,0.8820259042033235
RandomForest_r39,8,5,0,0.8980891719745223,0.8513824884792627,0.8980891719745223,,0.8354105571847508,0.8980891719745223,0.8980891719745223,0.8969044585987263,0.843,,0.8147001823457253,0.25306719963939617,0.9356671554252199
XGBoost,8,5,0,0.8726114649681529,0.8059718969555035,0.8726114649681529,,0.8192815249266863,0.8726114649681529,0.8726114649681529,0.8739669862041446,0.8122907699665232,,0.7845635427822168,0.30758566028772993,0.9307795698924731
